Covered Electronics Product Type	Estimated Quantity in Pounds by CEP Type Collected April 1	YTD Pounds	Percent of Total Pounds by CEP Type YTD
Household Tv	2200975	8468240	
School District Tv	0	2731	
Small Business Tv	1801	3727	
Small Government Tv	7374	7874	
Total Televisions	2210150	8482572	82.7
Household Monitors	248500	948753	
School District Monitors	2998	10440	
Small Business Monitors	1000	2752	
Small Government Monitors	1025	4918	
Total Monitors	253523	966863	9.4
Household Computers	188524	783067	
School District Computers	5220	14356	
Small Business Computers	1002	3194	
Small Government Computers	614	2776	
Total Computers	195360	803393	7.8
