WA State County	Estimated quantity in pounds by WA State county April	Estimated quantity in pounds by WA State county YTD April	Percent of total pound by county YT April
Adams	2526	2526	0.0
Asotin	8198	18715	0.2
Benton	39739	158955	1.6
Chelan	44951	131866	1.3
Clallam	22657	95017	0.9
Clark	178958	781502	7.6
Columbia		0	0.0
Cowlitz	45398	204808	2.0
Douglas	7999	19320	0.2
Ferry	6217	9015	0.1
Franklin	25943	67458	0.7
Garfield	1640	3743	0.0
Grant	16452	43587	0.4
Grays Harbor	19556	99621	1.0
Island	50202	158821	1.5
Jefferson	11329	63189	0.6
King	867617	3294408	32.1
Kitsap	49481	250666	2.4
Kittitas	19719	69212	0.7
Klickitat	6213	6213	0.1
Lewis	26071	138437	1.4
Lincoln		8064	0.1
Mason	8755	33517	0.3
Okanogan	1616	6592	0.1
Pacific	9411	27394	0.3
Pend Oreille	7920	7920	0.1
Pierce	286971	1240190	12.1
San Juan	17932	25812	0.3
Skagit	34936	145127	1.4
Skamania	6405	13812	0.1
Snohomish	301681	1330774	13.0
Spokane	228713	541005	5.3
Stevens	12090	23411	0.2
Thurston	119047	518105	5.1
Wahkiakum		2188	0.0
Walla Walla	42001	94226	0.9
Whatcom	76814	330831	3.2
Whitman	19706	55436	0.5
Yakima	34169	231345	2.3
Total	2659033	10252828	100.0
