""											BUSINESS			
""					NEWS			CONTAM-	TOTAL	TOTAL	RECYCLE	MOTOR OIL	ELECTRONICS	APPLIANCES
""	ALUM	FERROUS METAL	GLASS	MIXED PAPER	PAPER	PLASTICS	TIN	INANTS	w/cont	w/o cont	PROGRAM	(Gallons)	(units)	(units)
2016 Total:	815.2	384.9	23,052.0	37,112.4	12,218.2	4,409.5	998.7	9,306.6	88,297.5	78,990.9	3,912.3	1,477	131	533
2015 Total:	794.4	379.3	22,542.2	36,225.9	11,963.3	4,310.6	977.7	9,073.0	86,266.3	77,193.3	3,713.0	1,438	83	361
2014 Total:	751.4	353.7	14,697.3	41,729.1	16,143.0	3,584.4	1,005.1	4,968.8	83,232.9	78,264.1	3,293.7	1,821	49	256
2013 Total:	730.4	344.5	14,261.4	40,443.4	15,681.5	3,484.0	977.7	4,809.5	80,732.3	75,922.9	3,002.5	2,445	98	222
2012 Total:	731.0	345.1	14,261.7	40,423.6	15,689.3	3,486.6	978.7	4,804.4	80,720.3	75,915.9	2,874.4	14,021	352	1,133
2011 Total:	734.3	348.6	14,247.1	40,236.2	15,726.3	3,500.8	984.8	4,763.0	80,541.0	75,778.1	2,689.7	3,035	151	325
2010 Total:	746.7	354.2	14,497.3	40,961.6	15,995.7	3,560.1	1,001.2	4,851.3	81,968.0	77,116.7	2,896.5	3,105	147	483
2009 Total:	750.8	357.3	14,534.9	40,986.1	16,066.7	3,579.2	1,007.7	4,843.5	82,126.2	77,282.8	3,947.9	1,132	156	417
2008 Total:	420.3	257.1	15,216.3	35,869.8	27,489.6	1,959.6	675.8	1,800.2	83,688.6	83,907.9				
2007 Total:	445.6	270.7	16,097.0	37,911.7	29,105.5	2,074.7	716.0	1,899.1	88,520.3	86,621.1				
2006 Total:	435.8	263.7	15,702.5	36,951.7	28,450.2	2,027.0	699.8	1,847.6	86,378.3	84,530.7				
2005 Total:	422.2	251.1	15,170.3	35,673.3	27,528.5	1,961.3	677.6	1,778.5	83,462.8	81,684.3				
2004 Total:	496.4	119.2	13,620.3	32,855.6	27,488.5	1,712.4	853.7	3,006.4	80,152.4	77,146.0				
2003 Total:	476.8	114.2	13,069.8	31,523.3	26,373.1	1,645.9	820.5	2,889.7	76,913.3	74,023.7				
2002 Total:	469.9	111.2	12,849.3	30,971.4	25,915.2	1,622.7	809.4	2,843.0	75,592.1	72,749.2				
2001 Total:	467.5	110.2	12,775.9	30,785.6	25,760.6	1,614.5	805.5	2,825.7	75,145.4	72,319.7				
2000 Total:	555.2	103.3	14,013.8	30,255.8	26,504.6	1,622.0	851.3	2,724.4	76,393.1	73,906.0				
1999 Total:	868.2	78.2	14,877.8	28,518.0	26,710.9	814.5	1,506.3	1,138.7	74,516.3	73,377.6				
1998 Total:	833.0	75.9	14,223.1	26,898.0	25,847.3	794.2	1,475.8	1,122.3	71,271.5	70,149.2				
1997 Total:	809.9	71.0	13,675.5	25,920.0	24,729.9	761.8	1,446.3	1,050.1	68,469.3	67,419.2				
1996 Total:	763.0	72.5	12,776.7	23,152.0	23,810.2	709.5	1,359.1	959.3	63,600.7	62,641.4				
1995 Total:	757.3	71.3	12,949.0	22,844.4	24,208.9	657.8	1,391.3	919.6	63,800.8	62,881.2				
1994 Total:	747.6	66.9	12,532.0	22,980.7	22,552.7	634.9	1,361.5	905.9	61,786.7	60,880.8				
1993 Total:	699.8	NA	11,376.3	21,259.5	20,014.8	557.8	1,257.0	854.4	56,123.7	55,232.1				
1992 Total:	866.1	NA	11,438.2	19,049.1	18,139.6	288.8	1,478.6	1,259.6	52,520.0	51,260.4				
1991 Total:	685.5	NA	9,951.0	20,199.5	16,835.9	268.3	1,447.3	1,004.4	50,392.0	49,387.5				
1990 Total:	895.1	NA	9,325.6	17,702.6	17,731.4	163.1	1,313.1	685.9	47,816.8	47,130.9				
1989 Total:	433.2	NA	8,741.3	15,192.3	15,308.4	88.9	1,279.9	121.0	41,165.0	41,044.0				
1988 Total:	242.3	NA	4,833.6	7,739.7	10,481.4	NA	649.2	39.4	23,985.6	23,946.2				
