Year	Disposed 	Recycled 	Recycle Rate 
12/31/2003 12:00:00 AM	458011	283083	38%
12/31/2004 12:00:00 AM	458389	321655	41%
12/31/2005 12:00:00 AM	440693	349763	44%
12/31/2006 12:00:00 AM	438381	398118	48%
12/31/2007 12:00:00 AM	439407	409352	48%
12/31/2008 12:00:00 AM	394748	394860	50%
12/31/2009 12:00:00 AM	351689	367735	51%
12/31/2010 12:00:00 AM	335570	388898	54%
12/31/2011 12:00:00 AM	319341	396655	55%
12/31/2012 12:00:00 AM	315966	397837	56%
12/31/2013 12:00:00 AM	317258	407125	56%
08/01/2014 12:00:00 AM	309515	411754	57%
07/01/2015 12:00:00 AM	302467	418437	58%
